Head_Type,Tail_Type,Predicted_Relation,Relation_Present,text
MATTER,ORGANISM,no relation,0,"Used appropriately , this type of model could help countries find agricultural expansion alternatives and related infrastructure and land use policies that help achieve production targets while helping to conserve Africa s rapidly transforming savannahs.This article is part of the themed issue @MATTER$ : linking ecology , @ORGANISM$ use and conservation conservation ."
PHENOMENA,ENVIRONMENT,INFLUENCE,1,This study therefore points to the necessity of also considering soil feedback mechanisms in order to gain a comprehensive and holistic understanding of the impacts of current @PHENOMENA$ phenomena on the stability of essential @ENVIRONMENT$ functions .
ENVIRONMENT,QUALITY,HAVE/OF,1,"Here , we made use of the @ENVIRONMENT$ ecosystem model LPJ-GUESS LPJ-GUESS parametrized with empirical @QUALITY$ data , which creates output of individual performance , community assembly , stand- level states and processes ."
ENVIRONMENT,PHENOMENA,no relation,0,"Species were removed in a subtractive fashion so that biomass was allowed to vary with each species removal , and key @ENVIRONMENT$ processes were measured at each stage of @PHENOMENA$ ."
ORGANISM,PHENOMENA,no relation,0,Relationship between Reproductive Allocation and Relative Abundance among 32 @ORGANISM$ of a Tibetan Alpine Meadow : Effects of Fertilization and @PHENOMENA$ Background Understanding the relationship between species traits and species abundance is an important goal in ecology and biodiversity science .
ORGANISM,ENVIRONMENT,OCCUR_IN,1,"Height is for a standing tree , length for a @ORGANISM$ lying on the @ENVIRONMENT$ ."
QUALITY,PHENOMENA,no relation,0,Relationship between Reproductive Allocation and Relative @QUALITY$ among 32 Species of a Tibetan Alpine Meadow : Effects of @PHENOMENA$ and Grazing Background Understanding the relationship between species traits and species abundance is an important goal in ecology and biodiversity science .
ENVIRONMENT,ORGANISM,no relation,0,"Soil analysis and native plant propagation : a case study on Laysan Island , Papahanaumokuakea Marine National Monument * Original Title * : @ENVIRONMENT$ analysis and native @ORGANISM$ propagation : a case study on Laysan Island , Papahanaumokuakea Marine National Monument This final report documents methods and results for 3 objectives of a project funded by the Region 1 Inventory and Monitoring Initiative in FY 2012 ."
MATTER,ORGANISM,no relation,0,"-- - 6 digit @MATTER$ tags starting with 3 were also used for woody debris items -- the reference file linking metal tags to @ORGANISM$ individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) ( TagMBa original : Silver ID given by Martin , Anja , or Christian , in this case the tree was considered alive by Martin , and dead by AnjaCSP metal tag number ( trees , woody debris ) ."
ENVIRONMENT,ENVIRONMENT,no relation,0,"Growing human population densities , intensified land-use , invasive species and increasing habitat fragmentation threaten @ENVIRONMENT$ worldwide and @ENVIRONMENT$ are often the only refuge for endangered species ."
ENVIRONMENT,MATTER,no relation,0,Assessing biodiversity of a freshwater @ENVIRONMENT$ through non-destructive environmental barcoding of DNA from preservative @MATTER$ Background Characterizing biodiversity in a habitat or in targeted taxonomically or socioeconomically important groups remains a challenge .
PHENOMENA,QUALITY,no relation,0,"To disentangle how functional traits explain @PHENOMENA$ and underpin biodiversityÃ¢â‚¬â€œecosystem functioning relationships , we should elucidate how @QUALITY$ affect individual growth across species richness levels , because the role of functional traits on growth depends on the ecological context of the individual ."
ENVIRONMENT,PHENOMENA,no relation,0,"Threats to marine biodiversity in the U.S. are the same as those for most of the world : overexploitation of living resources ; reduced water quality ; coastal development ; shipping ; invasive species ; rising temperature and concentrations of carbon dioxide in the surface @ENVIRONMENT$ , and other changes that may be consequences of @PHENOMENA$ , including shifting currents ; increased number and size of hypoxic or anoxic areas ; and increased number and duration of harmful algal blooms ."
QUALITY,ORGANISM,no relation,0,"Seedling Density ( Density ) , Density number of seedlings planted ( Density : Density of planted species within each splitplot ) number of seedlings planted Seedling @QUALITY$ number of @ORGANISM$ planted Density of planted species within each splitplot Distance ( Distance ) , Distance Distance ( Distance : indicator for species either planted in their own monoculture ( home ) or in a different one ( away ) ) Distance Distance Distance indicator for species either planted in their own monoculture ( home ) or in a different one ( away ) Scientific plant species name ( Home_Species ) , Home_Species The scientific species fullnames are based on the `` Flora of China China identified by Teng Fang and verified by Helge Bruelheide ( trees ) and Alexandra Erfmeier ( herbs ) ."
QUALITY,QUALITY,no relation,0,"Measures of biodiversity other than @QUALITY$ , such as ecosystem and @QUALITY$ , are poorly documented ."
ORGANISM,QUALITY,HAVE/OF,1,"Members of Basidiomycota and Ascomycota dominated the @ORGANISM$ , with 22 putative ectomycorrhizal fungal families , where Russulaceae and Thelephoraceae were the most @QUALITY$ taxa ."
ORGANISM,QUALITY,no relation,0,Plant nitrogen concentrations across three focus species were 18 % higher when @ORGANISM$ were present ; @QUALITY$ of plant communities did not affect plant quality .
MATTER,ENVIRONMENT,OCCUR_IN,1,"-- - 6 digit @MATTER$ tags starting with 3 were also used for @ENVIRONMENT$ debris items -- the reference file linking metal tags to tree individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) Silver ID given by Martin , in this case the tree was considered alive by Martin , and dead by AnjaCSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP metal tag number ( trees , woody debris ) ; Datagroup description : CSP tree individuals were marked mostly with metal tags but also additional tags were used ."
QUALITY,ORGANISM,HAVE/OF,1,"Although no unique fungi or bacteria have been detected in neither suppressive nor conducive composts , relatively high @QUALITY$ of @ORGANISM$ and Zopfiella were found in compost COM-B and COM-A , respectively ."
ORGANISM,ENVIRONMENT,OCCUR_IN,1,"By showing a first link between plant diversity and stoichiometry in a multiyear experiment , our results indicate that losing @ORGANISM$ from @ENVIRONMENT$ will lead to less reliable chemical composition of forage for herbivorous consumers and belowground litter input ."
QUALITY,ORGANISM,no relation,0,@QUALITY$ as in the reference list for @ORGANISM$ .
ORGANISM,QUALITY,HAVE/OF,1,"BEF research plot where the abundance of @ORGANISM$ x is estimated @QUALITY$ ( CSP14 ) , CSP14 Number of individuals determined for the respective category ."
QUALITY,ENVIRONMENT,no relation,0,( loss_o : average sandloss open @ENVIRONMENT$ g m-2 -- -- ) real Deriving @QUALITY$ from sand loss Kinetic energy is derived from sand loss out of splashcups .
PHENOMENA,QUALITY,no relation,0,Ways to quantify @PHENOMENA$ : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; @QUALITY$ open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_v : rainfall amount open field ( vaisala ) mm -- rainfall amount ( vaisala ) -- measured by the vaisala sensor ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .
ORGANISM,MATTER,no relation,0,"If no identification is possible write `` ? Ã¯Â¿Â½ ; Scientific plant species name ; ; Datagroup description : Scientific plant species name ; Source : Flora of China , Helge Bruelheide ( derived from datagroup ) ; Source : Flora of China , Helge Bruelheide ( derived from datagroup ) Helper ( specunpolished ) , dimensionless specunpolished Helper column to understand other columns in this data set ( specunpolished : Sepecies UnpolishedHelper ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Sepecies UnpolishedHelper ; Datagroup description : Helper CSP metal tag number ( @ORGANISM$ , @MATTER$ ) ( TagAFCW ) , dimensionless TagAFCW CSP tree individuals were marked mostly with metal tags but also additional tags were used ."
ORGANISM,ENVIRONMENT,OCCUR_IN,1,"Coral reefs support upwards of one third of all marine @ORGANISM$ of fish , so the loss of @ENVIRONMENT$ may have substantial consequences to local fish diversity ."
ORGANISM,QUALITY,INFLUENCE,1,"By farming fungus in specialized garden chambers , these dominant @ORGANISM$ facilitate rapid @QUALITY$ conversion ."
ORGANISM,QUALITY,NO_RELATION,1,Conclusion Our results suggest that the abundance and richness of @ORGANISM$ in a habitat is limited by the duration of unfavorable @QUALITY$ .
MATTER,ENVIRONMENT,INFLUENCE,1,1 21332 LÃƒÂ¼neburg Germany 49 ( 0 ) 4131-677-2960 Jan Peters ######## en_US Trees with @MATTER$ ( EFN ) are common in tropical and subtropical forests and the presence of EFN trees within a @ENVIRONMENT$ may influence tree growth .
ENVIRONMENT,ORGANISM,no relation,0,"Woody debris items @ENVIRONMENT$ debris items are @ORGANISM$ or parts of trees , such as fallen crowns , branches , etc ."
QUALITY,LOCATION,no relation,0,"DESCRIPTION Fish abundance in the Elwha River estuary , Washington , from 2006 to 2014 SUMMARY Original Title : Fish @QUALITY$ in the Elwha River estuary , @LOCATION$ , from 2006 to 2014 This portion of the data release presents fish abundance data from samples collected in the Elwha River estuary , Washington , in 2006 , 2007 , 2013 , and 2014 ( no associated USGS Field Activities numbers because data were collected predominantly by biologists from the Lower Elwha Klallam Tribe ) ."
PHENOMENA,ORGANISM,INFLUENCE,1,"Each disassembly of a food web resulted in a unique relationship between parasite richness and the richness of free-living species , because the @PHENOMENA$ trajectory of parasites was sensitive to the order of extinctions of @ORGANISM$ ."
ORGANISM,MATTER,no relation,0,"-- - 6 digit metal tags starting with 3 were also used for woody debris items CSP @MATTER$ tag number ( trees , woody debris ) ( TagAFCW original ) , dimensionless TagAFCW original CSP @ORGANISM$ individuals were marked mostly with metal tags but also additional tags were used ."
ENVIRONMENT,ORGANISM,INFLUENCE,1,"Using river fishes as model , we developed @ENVIRONMENT$ indicators that aim at integrating various components of biodiversity including interactions between @ORGANISM$ and ultimately the processes influencing ecosystem functions ."
QUALITY,ORGANISM,no relation,0,"-- - 6 digit metal tags starting with 3 were also used for woody debris items @QUALITY$ at breast height ( DBH ) , centimeter DBH Diameter of a @ORGANISM$ , measured at 1.3 m height ( DBH : diameter at breast height ."
ORGANISM,ENVIRONMENT,OCCUR_IN,1,"Although increasing efforts are being made to restore tropical forests , little information is available regarding the time scales required for carbon and @ORGANISM$ biodiversity to recover to the values associated with undisturbed @ENVIRONMENT$ ."
ENVIRONMENT,QUALITY,no relation,0,Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open @ENVIRONMENT$ ( vaisala ) mm/hmeasured by the vaisala sensor -- - @QUALITY$ open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_v : rainfall amount open field ( vaisala ) mm -- rainfall amount ( vaisala ) -- measured by the vaisala sensor ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .
ENVIRONMENT,MATTER,no relation,0,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other @ENVIRONMENT$ @MATTER$ emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india"
PHENOMENA,ORGANISM,no relation,0,"Pervasive Defaunation of Forest Remnants in a Tropical Biodiversity Hotspot Tropical deforestation and @PHENOMENA$ are among the most important biodiversity conservation issues worldwide , yet local extinctions of millions of animal and @ORGANISM$ stranded in unprotected forest remnants remain poorly explained ."
QUALITY,ENVIRONMENT,INFLUENCE,1,"Samplenr Seedlingnr Plot Record Date Planted_Species Density Treatment Dead Height_P Height_G Leaves_Liv Leaves_Dam Leaves_Dead Damage_pro Biomass_Above Biomass_Below List of headers of the data columns in this dataset Pilot experiment 117.8998 118.1483 29.2852 29.10178 ######## ######## markus_ger erfmeier Common Garden Experiment : Seedling addition experiment - growth and @QUALITY$ data while coexistence in @ENVIRONMENT$ is frequently explained by effects of resource niche partitioning , the Janzen-Connell ( J-C ) hypothesis is an alternative approach that has been assumed as a major ecological mechanism explaining high species richness levels , in particular , in tropical forest ecosystems ."
** ORGANISM,** MATTER,** no relation,1,"-- - 6 digit metal tags starting with 3 were also used for woody debris items -- the reference file linking metal tags to tree individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) Silver ID given by Martin , in this case the tree was considered alive by Martin , and dead by AnjaCSP metal tag number ( @ORGANISM$ , woody debris ) ; Datagroup description : CSP @MATTER$ tag number ( trees , woody debris ) ; Datagroup description : CSP tree individuals were marked mostly with metal tags but also additional tags were used ."
ORGANISM,ENVIRONMENT,OCCUR_IN,1,Other urban_park_ranger_animal_condition_response_1 date_and_time_of_initial_call Date and Time of initial call datetime # dateTime date_and_time_of_initial_call date_and_time_of_ranger_response Date and time of Ranger response datetime # dateTime date_and_time_of_ranger_response borough Borough string # string borough property Property string # string property location Location string # string location species_description Species Description string # string species_description call_source Call Source string # string call_source species_status Species Status string # string species_status animal_condition Animal Condition string # string animal_condition duration_of_response Duration of Response number # decimal duration_of_response age Age string # string age animal_class Animal Class string # string animal_class 311sr_number 311SR Number string # string 311sr_number final_ranger_action Final Ranger Action string # string final_ranger_action of_animals # of Animals integer # integer of_animals pep_response PEP Response boolean # boolean pep_response animal_monitored Animal Monitored boolean # boolean animal_monitored rehabilitator Rehabilitator string # string rehabilitator hours_spent_monitoring Hours spent monitoring number # decimal hours_spent_monitoring police_response Police Response boolean # boolean police_response esu_response ESU Response boolean # boolean esu_response acc_intake_number ACC Intake Number string # string acc_intake_number data/urban_park_ranger_animal_condition_response_1.csv csv original/urban-park-ranger-animal-condition-response-1.csv original/urban-park-ranger-animal-condition-response-1.csv csv text/csv 97827 animal rescue @ORGANISM$ raccoon deer bird hawk chicken rooster dog cat squirrel urban park ranger @ENVIRONMENT$
ORGANISM,QUALITY,no relation,0,"Scientific plant species name ( @ORGANISM$ ) , dimensionless species The @QUALITY$ are based on the `` Flora of China China identified by Teng Fang and verified by Helge Bruelheide ( trees ) and Alexandra Erfmeier ( herbs ) ."
PHENOMENA,LOCATION,OCCUR_IN,1,"abundance ant CSP feeding guilt genus location pitfall traps species taxon Find the list of keywords here : CSP Trap Species Species_Tax Genus Subfamily Individuals List of headers of the data columns in this dataset This dataset can be used by any interested individual as long as the original publication is properly cited : Staab , M. , Schuldt , A. , Assmann , T. , Bruelheide , H. & Klein , A.M. ( 2014 ) : Ant community structure during @PHENOMENA$ in a subtropical forest in @LOCATION$ ."
ENVIRONMENT,PHENOMENA,no relation,0,"@ENVIRONMENT$ fragments were highly accessible to hunters and exposed to edge effects and @PHENOMENA$ , thereby severely diminishing the predictive power of species-area relationships , with the power model explaining only Ã¢ËÂ¼9 % of the variation in species richness per patch ."
ENVIRONMENT,PHENOMENA,INFLUENCE,1,"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge average rainfall intensity open @ENVIRONMENT$ ( vaisala ) mm/h -- average rainfall intensity ( vaisala ) -- measured by the vaisala sensor @PHENOMENA$ ( peak_v ) , millimeter per hour peak_v Precipitation measured at the climate station or locally within sites ."
MATTER,PHENOMENA,INFLUENCE,1,"The impacts of liming on @MATTER$ storage are variable and strongly relate to soil type , land use , @PHENOMENA$ and multiple management factors ."
MATTER,ENVIRONMENT,no relation,0,"Zambia presents an acute example of this challenge , with an expected tripling of population by 2050 , good potential to expand maize and soya @MATTER$ production , and large areas of relatively undisturbed miombo @ENVIRONMENT$ and associated habitat types of high biodiversity value ."
QUALITY,MATTER,HAVE/OF,1,Both should be multiplied to get the @QUALITY$ of @MATTER$ . )
QUALITY,ENVIRONMENT,INFLUENCE,1,"We present the first systematic investigation of biodiversity s effect on ecosystem multifunctionality across multiple taxa , trophic levels and @ENVIRONMENT$ using a comprehensive database of 94 manipulations of @QUALITY$ ."
QUALITY,PHENOMENA,INFLUENCE,1,Path analyses showed that increasing plant diversity led to higher @QUALITY$ and diversity of @PHENOMENA$ arthropods through higher plant biomass .
ORGANISM,QUALITY,no relation,0,"The patterns capture different aspects of forest dynamics and biodiversity structure , such as annual mortality rate , species richness , @ORGANISM$ @QUALITY$ distribution , beta-diversity and the speciesÃ¢â¬âarea relationship ( SAR ) ."
PHENOMENA,MATTER,no relation,0,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and @PHENOMENA$ , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , @MATTER$ emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india"
QUALITY,MATTER,no relation,0,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in @QUALITY$ sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 @MATTER$ pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india"
