index,sentence,head,tail,relation,gold label
28,Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open @ENVIRONMENT$ ( vaisala ) mm/hmeasured by the vaisala sensor -- - @QUALITY$ open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_v : rainfall amount open field ( vaisala ) mm -- rainfall amount ( vaisala ) -- measured by the vaisala sensor ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .,QUALITY,ENVIRONMENT,0,0
29,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other @ENVIRONMENT$ @MATTER$ emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india",ENVIRONMENT,MATTER,0,1
30,"Pervasive Defaunation of Forest Remnants in a Tropical Biodiversity Hotspot Tropical deforestation and @PHENOMENA$ are among the most important biodiversity conservation issues worldwide , yet local extinctions of millions of animal and @ORGANISM$ stranded in unprotected forest remnants remain poorly explained .",PHENOMENA,ORGANISM,0,0
31,"Samplenr Seedlingnr Plot Record Date Planted_Species Density Treatment Dead Height_P Height_G Leaves_Liv Leaves_Dam Leaves_Dead Damage_pro Biomass_Above Biomass_Below List of headers of the data columns in this dataset Pilot experiment 117.8998 118.1483 29.2852 29.10178 ######## ######## markus_ger erfmeier Common Garden Experiment : Seedling addition experiment - growth and @QUALITY$ data while coexistence in @ENVIRONMENT$ is frequently explained by effects of resource niche partitioning , the Janzen-Connell ( J-C ) hypothesis is an alternative approach that has been assumed as a major ecological mechanism explaining high species richness levels , in particular , in tropical forest ecosystems .",QUALITY,ENVIRONMENT,1,0
32,"-- - 6 digit metal tags starting with 3 were also used for woody debris items -- the reference file linking metal tags to tree individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) Silver ID given by Martin , in this case the tree was considered alive by Martin , and dead by AnjaCSP metal tag number ( @ORGANISM$ , woody debris ) ; Datagroup description : CSP @MATTER$ tag number ( trees , woody debris ) ; Datagroup description : CSP tree individuals were marked mostly with metal tags but also additional tags were used .",ORGANISM,MATTER,0,1
33,Other urban_park_ranger_animal_condition_response_1 date_and_time_of_initial_call Date and Time of initial call datetime # dateTime date_and_time_of_initial_call date_and_time_of_ranger_response Date and time of Ranger response datetime # dateTime date_and_time_of_ranger_response borough Borough string # string borough property Property string # string property location Location string # string location species_description Species Description string # string species_description call_source Call Source string # string call_source species_status Species Status string # string species_status animal_condition Animal Condition string # string animal_condition duration_of_response Duration of Response number # decimal duration_of_response age Age string # string age animal_class Animal Class string # string animal_class 311sr_number 311SR Number string # string 311sr_number final_ranger_action Final Ranger Action string # string final_ranger_action of_animals # of Animals integer # integer of_animals pep_response PEP Response boolean # boolean pep_response animal_monitored Animal Monitored boolean # boolean animal_monitored rehabilitator Rehabilitator string # string rehabilitator hours_spent_monitoring Hours spent monitoring number # decimal hours_spent_monitoring police_response Police Response boolean # boolean police_response esu_response ESU Response boolean # boolean esu_response acc_intake_number ACC Intake Number string # string acc_intake_number data/urban_park_ranger_animal_condition_response_1.csv csv original/urban-park-ranger-animal-condition-response-1.csv original/urban-park-ranger-animal-condition-response-1.csv csv text/csv 97827 animal rescue @ORGANISM$ raccoon deer bird hawk chicken rooster dog cat squirrel urban park ranger @ENVIRONMENT$,ORGANISM,ENVIRONMENT,1,0
34,"Scientific plant species name ( @ORGANISM$ ) , dimensionless species The @QUALITY$ are based on the `` Flora of China China identified by Teng Fang and verified by Helge Bruelheide ( trees ) and Alexandra Erfmeier ( herbs ) .",ORGANISM,QUALITY,0,0
35,"abundance ant CSP feeding guilt genus location pitfall traps species taxon Find the list of keywords here : CSP Trap Species Species_Tax Genus Subfamily Individuals List of headers of the data columns in this dataset This dataset can be used by any interested individual as long as the original publication is properly cited : Staab , M. , Schuldt , A. , Assmann , T. , Bruelheide , H. & Klein , A.M. ( 2014 ) : Ant community structure during @PHENOMENA$ in a subtropical forest in @LOCATION$ .",PHENOMENA,LOCATION,1,0
36,"@ENVIRONMENT$ fragments were highly accessible to hunters and exposed to edge effects and @PHENOMENA$ , thereby severely diminishing the predictive power of species-area relationships , with the power model explaining only Ã¢ËÂ¼9 % of the variation in species richness per patch .",ENVIRONMENT,PHENOMENA,1,0
37,"Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge average rainfall intensity open @ENVIRONMENT$ ( vaisala ) mm/h -- average rainfall intensity ( vaisala ) -- measured by the vaisala sensor @PHENOMENA$ ( peak_v ) , millimeter per hour peak_v Precipitation measured at the climate station or locally within sites .",ENVIRONMENT,PHENOMENA,0,1
38,"The impacts of liming on @MATTER$ storage are variable and strongly relate to soil type , land use , @PHENOMENA$ and multiple management factors .",MATTER,PHENOMENA,0,1
39,Both should be multiplied to get the @QUALITY$ of @MATTER$ . ),QUALITY,MATTER,0,0
40,"We present the first systematic investigation of biodiversity s effect on ecosystem multifunctionality across multiple taxa , trophic levels and @ENVIRONMENT$ using a comprehensive database of 94 manipulations of @QUALITY$ .",QUALITY,ENVIRONMENT,0,0
41,"The patterns capture different aspects of forest dynamics and biodiversity structure , such as annual mortality rate , species richness , @ORGANISM$ @QUALITY$ distribution , beta-diversity and the speciesÃ¢â¬âarea relationship ( SAR ) .",ORGANISM,QUALITY,0,1
42,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and @PHENOMENA$ , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , @MATTER$ emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Disaster risk reduction progress score , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , Marine protected areas , Methane emissions , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , People with basic handwashing facilities including soap and water , Plant species , Population living in areas where elevation is below 5 meters , Population living in slums , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_india_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_india_1.csv csv original/environment-indicators-for-india-1.csv original/environment-indicators-for-india-1.csv csv text/csv 375066 environment hxl indicators india",PHENOMENA,MATTER,0,0
44,An Insect Herbivore Microbiome with High Plant Biomass-Degrading Capacity @ORGANISM$ can gain indirect access to recalcitrant @MATTER$ present in plant cell walls through symbiotic associations with lignocellulolytic microbes .,ORGANISM,MATTER,1,1
45,Source : Last updated at : ######## License - Creative Commons Attribution 4 CC-BY download_json_1 id id integer # integer id name name string # string name parentlayerid parentLayerId integer # integer parentlayerid defaultvisibility defaultVisibility boolean # boolean defaultvisibility sublayerids subLayerIds string # string sublayerids minscale minScale boolean # boolean minscale maxscale maxScale boolean # boolean maxscale data/download_json_1.csv csv original/download-json-1.json original/download-json-1.json json application/json 50778 original/wms-getcapabilities-2.html original/wms-getcapabilities-2.html html text/html 338470 agricultural soil analysis arable land arable land groundwater chemical chemistry continental scale earth science egdi environment europe european soil analysis forensic chemistry gemas geochemical geochemical analysis geochemical mapping geology geoscientificinformation grazing land groundwater heavy metals ireland land lithosphere mapping metal micka pedosphere science @ENVIRONMENT$ soil nutrient toxic element trace element @MATTER$ geographic,ENVIRONMENT,MATTER,1,0
46,"Contents of carbon , nitrogen and sulphur as well as @QUALITY$ ( @MATTER$ and KCl ) of six depth increments per CSP .",QUALITY,MATTER,0,0
47,Mapping the Drivers of @PHENOMENA$ Vulnerability for Australia s @ORGANISM$ Effective conservation management for climate adaptation rests on understanding the factors driving species species vulnerability in a spatially explicit manner so as to direct on-ground action .,PHENOMENA,ORGANISM,0,0
48,"Among these @ORGANISM$ stand multidrug-resistant enterobacteria ( MDRE ) , which intestinal @QUALITY$ can substantially vary , especially according to antibiotic exposure .",ORGANISM,QUALITY,0,0
49,"focal tree species identity trait ( PSI50 ) , MPa PSI50 trait ( PSI50 : water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 ) dimensionless real trait trait water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 Above and below ground biomass measurement ( SAWP ) , dimensionless SAWP Above and below ground biomass measurement ; Productivity ; Stocks ( SAWP : standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census ) dimensionless real Above and below ground biomass measurement Above and below ground biomass measurement ; Productivity ; Stocks standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census Neighbourhood diverstiy ( NCI ) , cm2 cm-2 NCI Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) ( NCI : neighbourhood competition index ; the focal trees trees basal area relative to the total basal area of closest neighbours ) dimensionless real Neighbourhood diverstiy Diversity of the tree or shrub species surrounding the unit of study ( target @ORGANISM$ , plot ) neighbourhood competition index ; the focal trees trees basal area relative to the @QUALITY$ of closest neighbours Abundance ( nb_count ) , count nb_count Number of individuals determined for the respective category .",ORGANISM,QUALITY,1,0
50,The cbbL form IA and IC genes associated with carbon fixation were analyzed to gain insight into metabolic potential of chemolithoautotrophs in three soil types of @ENVIRONMENT$ which had a very different salt load and @QUALITY$ .,ENVIRONMENT,QUALITY,1,0
51,"Causes , consequences , and perspectives in the variations of intestinal @QUALITY$ of @ENVIRONMENT$ of multidrug-resistant enterobacteria The intestinal microbiota is a complex environment that hosts 1013 to 1014 bacteria .",QUALITY,ENVIRONMENT,1,0
52,"Methodology We conducted a 3-year field experiment in a Tibetan alpine meadow to assess the relationship between @ORGANISM$ reproductive allocation ( RA ) and species relative @QUALITY$ ( SRA ) on control , grazed and fertilized plots .",ORGANISM,QUALITY,0,0
53,These systems are especially vulnerable to the effects of @ORGANISM$ activities and will be the first @ENVIRONMENT$ impacted by rising sea levels .,ORGANISM,ENVIRONMENT,1,1
54,"Contents of carbon , @MATTER$ and sulphur as well as @QUALITY$ ( H2O and KCl ) of six depth increments per CSP .",MATTER,QUALITY,0,1
55,"Comparative molecular analysis of chemolithoautotrophic bacterial diversity and community structure from coastal saline soils , Gujarat , India Background @ENVIRONMENT$ harbour high diversity of obligate as well as facultative @ORGANISM$ that contribute significantly to CO2 dynamics in soil .",ORGANISM,ENVIRONMENT,1,0
56,"The effects of weather on fungal abundance and richness among 25 communities in the Intermountain West Background Because moisture and temperature influence the growth of @ORGANISM$ , characterizing @QUALITY$ favorable for fungi may be used to predict the abundance and richness of fungi in habitats with different climate conditions .",ORGANISM,QUALITY,1,0
57,Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; @QUALITY$ open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( top5_t : average of the five highest five minute intensities ( tipping-bucket ) -- average of the five highest five minute intensities ( tipping-bucket ) -- measured by the tipping-bucket rain gauge ) dimensionless real Precipitation Precipitation measured at the climate station or locally within sites .,PHENOMENA,QUALITY,0,0
58,"Contents of carbon , @MATTER$ and sulphur as well as pH-values ( H2O and KCl ) of six @QUALITY$ increments per CSP .",MATTER,QUALITY,0,0
59,This suggests that the biomass contributed by a species to an assemblage can be used to approximately predict the proportional decline in an @ENVIRONMENT$ process when that @ORGANISM$ is lost .,ORGANISM,ENVIRONMENT,0,0
60,"The spatial identification of hot spots highlighted the ecological importance of most of the western Mediterranean shelves ( and in particular , the Strait of Gibraltar and the adjacent Alboran Sea ) , western @ENVIRONMENT$ , the Adriatic , and the @LOCATION$ , which show high concentrations of endangered , threatened , or vulnerable species .",ENVIRONMENT,LOCATION,0,0
61,"BEF research plot where the abundance of @ORGANISM$ x is estimated @QUALITY$ ( CSP07 ) , CSP07 Number of individuals determined for the respective category .",ORGANISM,QUALITY,0,0
62,"focal tree species identity trait ( PSI50 ) , MPa PSI50 trait ( PSI50 : water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 ) dimensionless real trait trait water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 Above and below ground biomass measurement ( SAWP ) , dimensionless SAWP Above and below ground biomass measurement ; Productivity ; Stocks ( SAWP : standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census ) dimensionless real Above and below ground biomass measurement Above and below ground biomass measurement ; Productivity ; Stocks standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census Neighbourhood diverstiy ( NCI ) , cm2 cm-2 NCI Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) ( NCI : neighbourhood competition index ; the focal @ORGANISM$ have @QUALITY$ relative to the total basal area of closest neighbours ) dimensionless real Neighbourhood diverstiy Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) neighbourhood competition index ; the focal trees trees basal area relative to the total basal area of closest neighbours Abundance ( nb_count ) , count nb_count Number of individuals determined for the respective category .",ORGANISM,QUALITY,1,1
63,; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Indicator for @ORGANISM$ that can be considered dead because of the @PHENOMENA$ .,ORGANISM,PHENOMENA,1,0
64,Source : Last updated at : ######## License - Creative Commons Attribution 4 CC-BY download_json_1 id id integer # integer id name name string # string name parentlayerid parentLayerId integer # integer parentlayerid defaultvisibility defaultVisibility boolean # boolean defaultvisibility sublayerids subLayerIds string # string sublayerids minscale minScale boolean # boolean minscale maxscale maxScale boolean # boolean maxscale data/download_json_1.csv csv original/download-json-1.json original/download-json-1.json json application/json 50778 original/wms-getcapabilities-2.html original/wms-getcapabilities-2.html html text/html 338470 agricultural soil analysis arable land arable land groundwater chemical chemistry continental scale earth science egdi environment europe european soil analysis forensic chemistry gemas geochemical geochemical analysis geochemical mapping geology geoscientificinformation @PHENOMENA$ land groundwater heavy metals ireland land lithosphere mapping metal micka pedosphere science @ENVIRONMENT$ soil nutrient toxic element trace element water geographic,PHENOMENA,ENVIRONMENT,0,0
65,( CSP01 : BEF research plot where the abundance of @ORGANISM$ x is estimated ) dimensionless real @QUALITY$ Number of individuals determined for the respective category .,ORGANISM,QUALITY,0,1
