gold,text
NA,Here we explore contemporary anthropogenic global patterns in vascular plant @QUALITY$ at regional landscape scales by combining spatially explicit models and estimates for native @ORGANISM$ loss together with gains in exotics caused by species invasions and the introduction of agricultural domesticates and ornamental exotic plants .
NA,In a mesocosm study we manipulated plant functional diversity based on the multi-trait Functional Diversity ( FD ) #NAME? of Petchey and Gaston by using database data of seven functional @QUALITY$ and information on the origin of the @ORGANISM$ in terms of being native or exotic .
have,"end date of the event Helper ( event_mm_bo ) , millimeter event_mm_bo Helper column to understand other columns in this data set ( event_mm_bo : rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the rainfall collecting bottle ; copied from the rainfall event overview Helper ( event_mm_va ) , millimeter event_mm_va Helper column to understand other columns in this data set ( event_mm_va : rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set rainfall amount as measured by the Vaisala sensor ; copied from the rainfall event overview Helper ( event_mm_tb ) , millimeter event_mm_tb Helper column to understand other columns in this data set ( event_mm_tb : rainfall amount as measured by the tipping bucket rain gauge ; copied from the rainfall event overview ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set @QUALITY$ as measured by the tipping bucket rain gauge ; copied from the @PHENOMENA$ overview Splashcup position ( position_scb ) , position_scb Categories with `` P P and a number indicate splashcups installed in the Main Experimental set up ."
NA,"Historical water use by the energy sector is related to patterns of fish species endangerment , where @MATTER$ resource regions with a greater fraction of available surface water withdrawn by hydropower or consumed by the @QUALITY$ sector correlated with higher probabilities of imperilment ."
NA,Ways to quantify precipitation : rainfall amount open field ( collecting bottle ) mmmeasured by a @PHENOMENA$ collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - @QUALITY$ open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge ( am_b : rainfall amount open field ( collecting bottle ) mm -- rainfall amount ( collecting bottle ) -- measured by a rainfall collecting bottle ) millimeter real Precipitation Precipitation measured at the climate station or locally within sites .
NA,"number # decimal carbon total total The total @QUALITY$ when adding cropland , grazing land , forest land , fishing ground , built up land and @MATTER$ footprints together number # decimal total qscore QScore A data quality scoring system to show a country s data quality which is comprised of two components , a timeline score ( excluding latest year and denoted by a number from 1 to 3 ) and a latest year score ( denoted by a letter from A to D ) ."
NA,"We conclude that the conservation of the forest-related biodiversity , and to a lesser degree of @MATTER$ stocks , mainly depends on the preservation of @ENVIRONMENT$ habitats ."
influence,Four Decades of Andean Timberline Migration and Implications for Biodiversity Loss with Climate Change Rapid 21st-century @PHENOMENA$ may lead to large population decreases and extinction in tropical montane cloud forest @ORGANISM$ in the Andes .
NA,"Soil analysis and native @ORGANISM$ propagation : a case study on Laysan Island , Papahanaumokuakea Marine National Monument * Original Title * : @ENVIRONMENT$ analysis and native plant propagation : a case study on Laysan Island , Papahanaumokuakea Marine National Monument This final report documents methods and results for 3 objectives of a project funded by the Region 1 Inventory and Monitoring Initiative in FY 2012 ."
have,"fine silt : 6.3-2ÃŽÂ¼m sieves and KÃƒÂ¶hn pipette , drying oven , balance Grain size distribution ( clay ) , ... @MATTER$ Wikipedia on @ENVIRONMENT$ classification : Engineers , typically geotechnical engineers , classify soils according to their engineering properties as they relate to use for foundation support or building material ."
influence,Coastal ecosystems are important sources of @MATTER$ ( primary production ) to shelf waters and play a vital role in global @PHENOMENA$ .
have,Retention cuts supported higher @QUALITY$ and a greater abundance of @ORGANISM$ than clearcuts as well as higher richness and abundance of open-habitat species than un-harvested forests .
NA,"In the three most carbon-rich agroforestry systems , @MATTER$ stocks were about 60 % of those of @ENVIRONMENT$ , suggesting that 1.6 ha of optimally managed agroforest can contribute to the conservation of carbon stocks as much as 1 ha of natural forest ."
NA,"It is highly unlikely that species-poor plantations , which may be optimal for above-ground biomass production , will outperform @ORGANISM$ diverse assemblages for a combination of functions , including overall carbon storage and control over @ENVIRONMENT$ and nutrient flows ."
NA,"Overall , the studied @ORGANISM$ @ENVIRONMENT$ contained 32 common species ."
NA,"Indicators : Access to clean fuels and technologies for cooking , Access to electricity , Adjusted net savings , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Annual freshwater withdrawals , Aquaculture production , Arable land , Average precipitation in depth , Bird species , CO2 emissions , CO2 emissions from electricity and heat production , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from manufacturing industries and construction , CO2 emissions from other sectors , CO2 emissions from residential buildings and commercial and public services , CO2 emissions from solid fuel consumption , CO2 emissions from transport , CO2 intensity , Capture fisheries production , Coal rents , Droughts , Electricity production from oil , Electricity production from renewable sources , Energy intensity level of primary energy , Energy related methane emissions , Fish species , Forest area , Forest rents , GHG net emissions/removals by LUCF , HFC gas emissions , Land area , Land area where elevation is below 5 meters , Mammal species , @ENVIRONMENT$ , @PHENOMENA$ , Methane emissions in energy sector , Mineral rents , Mortality rate attributed to household and ambient air pollution , Mortality rate attributed to unintentional poisoning , Mortality rate attributed to unsafe water , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , Other greenhouse gas emissions , PFC gas emissions , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , Plant species , Population living in areas where elevation is below 5 meters , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , SF6 gas emissions , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total greenhouse gas emissions , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters , Water productivity Methodology - Registry"
occur_in,sands and @MATTER$ are  in ( 2 ) @ENVIRONMENT$ ( e.g .
NA,"Resource limitation , tolerance , and the future of ecological plant classification Throughout the evolutionary history of plants , @PHENOMENA$ , shade , and scarcity of @MATTER$ have structured ecosystems and communities globally ."
NA,[ Biodegradation of tri- and perchloroethylene in sewage waters and soils by a microbial consortium of @MATTER$ and phototrophic @ORGANISM$ ] .
NA,"-- - 6 digit metal tags starting with 3 were also used for woody debris items -- the reference file linking metal tags to tree individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) ( TagMBa original : Silver ID given by Martin , Anja , or Christian , in this case the tree was considered alive by Martin , and dead by AnjaCSP @MATTER$ tag number ( trees , @ENVIRONMENT$ debris ) ."
have,"Commands : as.taxo ( ) , divc ( ) Estimated number of @ORGANISM$ OTUs ( Hill number 0 ) Taxonomic biodiversity ( estimator.shan06 ) , estimator.shan06 @QUALITY$ can be given as species richness , or other diversity indices ."
have,"The patterns thus derived confirm that while native losses are likely significant across at least half of Earth s ice-free land , model predictions indicate that @QUALITY$ has increased overall in most regional @ENVIRONMENT$ , mostly because species invasions tend to exceed native losses ."
NA,"2015 : Trade-offs between physical and chemical carbon-based leaf defence : Of intraspecific variation and trait evolution ( Journal of Ecology ) /datasets/490 ASCII 1 column , Scientific plant species name ( @ORGANISM$ ) , Species The scientific species fullnames are based on the `` Flora of @LOCATION$ China identified by Teng Fang and verified by Helge Bruelheide ( trees ) and Alexandra Erfmeier ( herbs ) ."
NA,"Causes , consequences , and perspectives in the variations of intestinal @QUALITY$ of colonization of multidrug-resistant enterobacteria The intestinal microbiota is a complex environment that hosts 1013 to 1014 @ORGANISM$ ."
NA,"We cultured @ORGANISM$ from air and leaf surfaces , and collected continuous temperature and relative @QUALITY$ measures over the growing season at 25 sites ."
NA,"Indicators : Access to electricity , Adjusted savings , Agricultural land , Agricultural methane emissions , Agricultural nitrous oxide emissions , Arable land , Bird species , CO2 emissions , CO2 emissions from gaseous fuel consumption , CO2 emissions from liquid fuel consumption , CO2 emissions from solid fuel consumption , Capture fisheries production , Coal rents , Energy related methane emissions , Fish species , Forest area , Forest rents , Land area , Land area where elevation is below 5 meters , @ORGANISM$ , @ENVIRONMENT$ , Methane emissions , Methane emissions in energy sector , Mineral rents , Natural gas rents , Nitrous oxide emissions , Nitrous oxide emissions in energy sector , Oil rents , PM2.5 air pollution , People practicing open defecation , People using at least basic drinking water services , People using at least basic sanitation services , People using safely managed drinking water services , People using safely managed sanitation services , Plant species , Population living in areas where elevation is below 5 meters , Renewable electricity output , Renewable energy consumption , Renewable internal freshwater resources , Renewable internal freshwater resources per capita , Rural land area , Rural land area where elevation is below 5 meters , Rural population living in areas where elevation is below 5 meters , Surface area , Terrestrial and marine protected areas , Terrestrial protected areas , Total fisheries production , Total natural resources rents , Urban land area , Urban land area where elevation is below 5 meters , Urban population living in areas where elevation is below 5 meters Methodology - Registry Source : Last updated at : ######## License - Creative Commons Attribution International CC-BY environment_indicators_for_greenland_1 country_name Country Name string # string country_name country_iso3 Country ISO3 string # string country_iso3 year Year gyear # gYear year indicator_name Indicator Name string # string indicator_name indicator_code Indicator Code string # string indicator_code value Value number # decimal value data/environment_indicators_for_greenland_1.csv csv original/environment-indicators-for-greenland-1.csv original/environment-indicators-for-greenland-1.csv csv text/csv 211273 environment hxl indicators greenland"
NA,"The primacy of either species or functional group richness effects depended on the sequence of testing these terms , indicating that both aspects of richness were congruent and complementary to expected strong effects of legume presence and @ORGANISM$ presence on plant @QUALITY$ ."
occur_in,Specific regulations are in place relating to @ORGANISM$ ( Crassostrea gigas ) to prevent the introduction of ostreid herpesvirus into certain areas of Ireland and the @LOCATION$ .
NA,"The model considers that local extinction risk is defined by patch size , and immigration rates by @ENVIRONMENT$ , and that the recovery from local @ORGANISM$ losses depends upon the landscape species pool ."
influence,"While research often focuses on how variation in @QUALITY$ influences @ENVIRONMENT$ processes , assessing species richness in a food web context can provide further insight into the relationship between diversity and ecosystem functioning and elucidate potential mechanisms underpinning this relationship ."
occur_in,"On each @ORGANISM$ , seven leaves on three randomly selected branches from different parts of the @ENVIRONMENT$ ( #ERROR! 21 leaves per tree ) were visually inspected ."
occur_in,Mass % of 8 grain size classes of @MATTER$ < 2 mm from @ENVIRONMENT$ of each soil profile per CSP .
NA,"-- - 6 digit metal tags starting with 3 were also used for @ENVIRONMENT$ debris items -- the reference file linking metal tags to @ORGANISM$ individual tags is called `` Tree stem reference list for the Comparative Study Sites ( CSPs ) ) ( TagMBa original : Silver ID given by Martin , Anja , or Christian , in this case the tree was considered alive by Martin , and dead by AnjaCSP metal tag number ( trees , woody debris ) ."
NA,"Ways to quantify @PHENOMENA$ : @QUALITY$ open field ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge rainfall amount open field ( vaisala ) mm -- rainfall amount ( vaisala ) -- measured by the vaisala sensor Precipitation ( int_v ) , millimeter per hour int_v Precipitation measured at the climate station or locally within sites ."
NA,"The effects of weather on fungal abundance and @QUALITY$ among 25 communities in the Intermountain West Background Because moisture and temperature influence the @PHENOMENA$ of fungi , characterizing weather conditions favorable for fungi may be used to predict the abundance and richness of fungi in habitats with different climate conditions ."
have,"( abun : Observed @QUALITY$ of caterpillars ) dimensionless real @ORGANISM$ count Counting the individuals of a given taxon , also called abundance ."
occur_in,The City of Austin s @PHENOMENA$ Prioritization serves as a decision support tool for locating tree planting sites for @LOCATION$ s October through March tree planting season .
influence,"Almost half of the threatened species assessed were considered vulnerable to the impacts of @PHENOMENA$ : amphibians being the most vulnerable group , followed by plants , reptiles , mammals and @ORGANISM$ ."
NA,"Ways to quantify @PHENOMENA$ : rainfall amount open @ENVIRONMENT$ ( collecting bottle ) mmmeasured by a rainfall collecting bottle ; rainfall amount open field ( vaisala ) mmmeasured by the vaisala sensor -- - average rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - peak rainfall intensity open field ( vaisala ) mm/hmeasured by the vaisala sensor -- - average of the five highest five minute intensities open field ( vaisala ) measured by the vaisala sensor -- - rainfall amount ( tipping-bucket ) mmmeasured by the tipping-bucket rain gauge -- - average rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge -- - peak rainfall intensity ( tipping-bucket ) mm/hmeasured by the tipping-bucket rain gauge rainfall amount ( tipping-bucket ) mm -- rainfall amount ( tipping-bucket ) -- measured by the tipping-bucket rain gauge Precipitation ( int_t ) , millimeter per hour int_t Precipitation measured at the climate station or locally within sites ."
NA,"Helper ( comment Karin ) , dimensionless comment Karin Helper column to understand other columns in this data set ( comment Karin : comment on the whole row ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set comment on the whole row ; Datagroup description : Helper @QUALITY$ at breast height ( meandbh ) , centimeter meandbh Diameter of a @ORGANISM$ , measured at 1.3 m height ( meandbh : merging the dbh column the extrapolated dbh column ( dbhpostmean ) ; Diameter at breast height ; ; Instrumentation : diameter tape , calliper ( derived from datagroup ) ; Instrumentation : diameter tape , calliper ( derived from datagroup ) ) dimensionless real Diameter at breast height Diameter of a tree , measured at 1.3 m height merging the dbh column the extrapolated dbh column ( dbhpostmean ) ; Diameter at breast height ; ; Instrumentation : diameter tape , calliper ( derived from datagroup ) ; Instrumentation : diameter tape , calliper ( derived from datagroup ) diameter tape , calliper Helper ( meanGr10 ) , dimensionless meanGr10 Helper column to understand other columns in this data set ( meanGr10 : Indicating if the dbh ( measured or extrapolated ) is greater than 10cm and should be considered in volume estimation in the central and outer subplots.Helper ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Indicating if the dbh ( measured or extrapolated ) is greater than 10cm and should be considered in volume estimation in the central and outer subplots.Helper ; Datagroup description : Helper Helper ( meanSm10Cn ) , dimensionless meanSm10Cn Helper column to understand other columns in this data set ( meanSm10Cn : Indicating if the dbh ( measured or extrapolated ) is smaller then 10cm and thus schould only considered in volume estimation of the central subplotHelper ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Indicating if the dbh ( measured or extrapolated ) is smaller then 10cm and thus schould only considered in volume estimation of the central subplotHelper ; Datagroup description : Helper Helper ( ice_storm_representative ) , ice_storm_representative Helper column to understand other columns in this data set ( ice_storm_representative : Indicator for trees that can be considered dead because of the ice storm ."
