gold,text
have,"focal tree species identity trait ( PSI50 ) , MPa PSI50 trait ( PSI50 : water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 ) dimensionless real trait trait water potential at which 50 % of xylem hydraulic conductivity is lost , data provided in KrÃƒÂ¶ber , Zhang , Ehmig , & Bruelheide ( 2014 ) , PLoS ONE , 9 , e109211 Above and below ground biomass measurement ( SAWP ) , dimensionless SAWP Above and below ground biomass measurement ; Productivity ; Stocks ( SAWP : standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census ) dimensionless real Above and below ground biomass measurement Above and below ground biomass measurement ; Productivity ; Stocks standardised annual aboveground wood productivity ; aboveground wood productivity ( AWP ) of a given focal tree in a specific census interval devided by the average AWP ( using the 50 % quantile of AWP ) of the respective census Neighbourhood diverstiy ( NCI ) , cm2 cm-2 NCI Diversity of the tree or shrub species surrounding the unit of study ( target tree , plot ) ( NCI : neighbourhood competition index ; the focal trees trees basal area relative to the total basal area of closest neighbours ) dimensionless real Neighbourhood diverstiy Diversity of the tree or @ORGANISM$ surrounding the unit of study ( target tree , plot ) @QUALITY$ ; the focal trees trees basal area relative to the total basal area of closest neighbours Abundance ( nb_count ) , count nb_count Number of individuals determined for the respective category ."
have,An @ORGANISM$ with High @QUALITY$ Herbivores can gain indirect access to recalcitrant @MATTER$ present in plant cell walls through symbiotic associations with lignocellulolytic microbes .
have,@QUALITY$ of @ORGANISM$ The scientific species fullnames are based on the `` Flora of China China identified by Teng Fang and verified by Helge Bruelheide ( trees ) and Alexandra Erfmeier ( herbs ) . herbs ) .
have,Herbivory of an invasive slug is affected by earthworms and the @QUALITY$ of @ENVIRONMENT$ Background Biodiversity loss and species invasions are among the most important human-induced global changes .
have,The @QUALITY$ are based on the `` @ORGANISM$ of China China .
have,"Plant Diversity Impacts Decomposition and Herbivory via Changes in @ENVIRONMENT$ @ORGANISM$ Loss of plant diversity influences essential ecosystem processes as aboveground productivity , and can have cascading effects on the arthropod communities in adjacent trophic levels ."
have,"Functional diversity of tree species Phylogenetic biodiversity ( phylo_div_rao ) , phylo_div_rao Phylogenetic biodiversity ( phylo_div_rao : Phylogenetic diversity of tree species ) dimensionless real Phylogenetic biodiversity Phylogenetic biodiversity Phylogenetic diversity of @ORGANISM$ Community Composition ( cwm_la ) , cwm_la Composition of the @ENVIRONMENT$ ( cwm_la : Community-weighted mean of leaf area ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf area Community Composition ( cwm_sla ) , cwm_sla Composition of the community ( cwm_sla : Community-weighted mean of specific leaf area ) dimensionless real Community Composition Composition of the community Community-weighted mean of specific leaf area Community Composition ( cwm_ldmc ) , cwm_ldmc Composition of the community ( cwm_ldmc : Community-weighted mean of leaf dry matter content ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf dry matter content Community Composition ( cwm_n ) , cwm_n Composition of the community ( cwm_n : Community-weighted mean of leaf nitrogen ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf nitrogen Community Composition ( cwm_c ) , cwm_c Composition of the community ( cwm_c : Community-weighted mean of leaf carbon ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf carbon Community Composition ( cwm_cn ) , cwm_cn Composition of the community ( cwm_cn : Community-weighted mean of leaf C : N ratio ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf C : N ratio Community Composition ( cwm_leaftough ) , cwm_leaftough Composition of the community ( cwm_leaftough : Community-weighted mean of leaf toughness ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf toughness Community Composition ( cwm_treevol ) , cwm_treevol Composition of the community ( cwm_treevol : Community-weighted mean of tree wood volume ) dimensionless real Community Composition Composition of the community Community-weighted mean of tree wood volume Community Composition ( cwm_k ) , cwm_k Composition of the community ( cwm_k : Community-weighted mean of leaf potassium ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf potassium Community Composition ( cwm_mg ) , cwm_mg Composition of the community ( cwm_mg : Community-weighted mean of leaf magnesia ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf magnesia Community Composition ( cwm_ca ) , cwm_ca Composition of the community ( cwm_ca : Community-weighted mean of leaf calcium ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf calcium Community Composition ( cwm_na ) , cwm_na Composition of the community ( cwm_na : Community-weighted mean of leaf sodium ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf sodium Community Composition ( cwm_p ) , cwm_p Composition of the community ( cwm_p : Community-weighted mean of leaf phosphorus ) dimensionless real Community Composition Composition of the community Community-weighted mean of leaf phosphorus yes 55"
have,"Soil depth ( depth ) , depth Incremental @QUALITY$ as opposed to @ENVIRONMENT$ , where each horizon could be of differen depth ."
have,"For example , increasing earthworm abundances and functional group composition were shown to be positively correlated with water infiltration rate ( dependent on tillage regime and habitat characteristics ) ; while positive changes in @QUALITY$ measures were positively associated with @ENVIRONMENT$ ."
have,Both should be multiplied to get the @QUALITY$ of @MATTER$ .
have,The differentiation in @ENVIRONMENT$ @QUALITY$ and diversity in three soil ecosystems was supported by LIBSHUFF ( P #ERROR! 0.001 ) and UniFrac .
have,"Helper ( comment Karin ) , dimensionless comment Karin Helper column to understand other columns in this data set ( comment Karin : comment on the whole row ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set comment on the whole row ; Datagroup description : Helper Diameter at breast height ( meandbh ) , centimeter meandbh @QUALITY$ of a @ORGANISM$ , measured at 1.3 m height ( meandbh : merging the dbh column the extrapolated dbh column ( dbhpostmean ) ; Diameter at breast height ; ; Instrumentation : diameter tape , calliper ( derived from datagroup ) ; Instrumentation : diameter tape , calliper ( derived from datagroup ) ) dimensionless real Diameter at breast height Diameter of a tree , measured at 1.3 m height merging the dbh column the extrapolated dbh column ( dbhpostmean ) ; Diameter at breast height ; ; Instrumentation : diameter tape , calliper ( derived from datagroup ) ; Instrumentation : diameter tape , calliper ( derived from datagroup ) diameter tape , calliper Helper ( meanGr10 ) , dimensionless meanGr10 Helper column to understand other columns in this data set ( meanGr10 : Indicating if the dbh ( measured or extrapolated ) is greater than 10cm and should be considered in volume estimation in the central and outer subplots.Helper ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Indicating if the dbh ( measured or extrapolated ) is greater than 10cm and should be considered in volume estimation in the central and outer subplots.Helper ; Datagroup description : Helper Helper ( meanSm10Cn ) , dimensionless meanSm10Cn Helper column to understand other columns in this data set ( meanSm10Cn : Indicating if the dbh ( measured or extrapolated ) is smaller then 10cm and thus schould only considered in volume estimation of the central subplotHelper ; Datagroup description : Helper ) Helper column to understand other columns in this data set Helper Helper column to understand other columns in this data set Indicating if the dbh ( measured or extrapolated ) is smaller then 10cm and thus schould only considered in volume estimation of the central subplotHelper ; Datagroup description : Helper Helper ( ice_storm_representative ) , ice_storm_representative Helper column to understand other columns in this data set ( ice_storm_representative : Indicator for trees that can be considered dead because of the ice storm ."
have,"( depth_lb : depth ( lower boundary ) of the sample ) dimensionless real Soil depth Incremental soil depth as opposed to @ENVIRONMENT$ , where each horizon could be of different @QUALITY$ ."
have,"Agricultural and Forest Meteorology 57 : 1Ã¢â‚¬â€œ12 ) - Projected ( or one-sided , in accordance the definition for broadleaf canopies ) needle area per unit ground area - Total needle surface area per unit @QUALITY$ LAI ranges from 0 ( bare ground ) to over 10 ( @ENVIRONMENT$ ) ."
have,"( abun : Observed abundance of caterpillars ) dimensionless real @ORGANISM$ count Counting the individuals of a given taxon , also called @QUALITY$ ."
influence,This suggests that the @QUALITY$ contributed by a species to an assemblage can be used to approximately predict the proportional decline in an @ENVIRONMENT$ process when that species is lost .
influence,In the Comparative Study Plots ( CSPs ) we quantified the amount of @MATTER$ downed by the @PHENOMENA$ ( coarse woody debris data ) .
influence,The level of in situ production by MPB mediates the net @PHENOMENA$ of transitional ecosystems between net heterotrophic or @PHENOMENA$ .
influence,We posit that the effects of @PHENOMENA$ will be most severe in coral regions with highest biodiversity of fishes due to greater specialization by @ORGANISM$ for particular coral habitats .
influence,"To estimate habitat favorability to fungi , we examined the relationship of fungal abundance and @QUALITY$ to various @PHENOMENA$ and environmental parameters in the Intermountain West ."
influence,Conclusions Given the important role that both herbivores and @ORGANISM$ play in structuring plant communities the implications of belowground-aboveground linkages should more broadly be considered when investigating @PHENOMENA$ effects on ecosystems .
influence,Here we conduct a species-level assessment of climate change vulnerability for a sample of Australia s threatened species and map the distribution of @ORGANISM$ affected by each factor driving @PHENOMENA$ vulnerability across the continent .
influence,"For example , increasing @QUALITY$ and @QUALITY$ were shown to be positively correlated with water infiltration rate ( dependent on tillage regime and habitat characteristics ) ; while positive changes in fungal biomass measures were positively associated with soil microaggregate stability ."
influence,"Features of @MATTER$ / Primary constituents / Hand texture ( fine earth ) : @QUALITY$ II ; hand_text48 Soil description ( according to `` Bodenkundliche Kartieranleitung Kartieranleitung ) ( rock_artefacts49 ) , rock_artefacts49 Basic information on soil properties , according to `` Eckelmann , W. , Sponagel , H. , Grottenthaler , W. , Hartmann , J. K. , Hartwich , R. , Janetzko , P. , ... & Traidl , R. ( 2005 ) ."
influence,"Surficial lithology strongly influences the differentiation and distribution of @ENVIRONMENT$ , and is one of the key input layers in the @PHENOMENA$ ."
influence,"@PHENOMENA$ effects on soil micro-organisms were context-dependent , such as depending on functional group richness of invasive @ORGANISM$ and soil depth ."
influence,The experiment used seeds and plug plants to create different @ORGANISM$ on the bare chalk on Winklebury Hill and tested the resulting @MATTER$ and nutrient cycling rates and compared these to the characteristics of different plant functional groups .
influence,"To disentangle how functional traits explain community growth and underpin biodiversityÃ¢â‚¬â€œecosystem functioning relationships , we should elucidate how plant traits affect individual growth across species richness levels , because the role of @QUALITY$ on @PHENOMENA$ depends on the ecological context of the individual ."
influence,Trees with extrafloral nectaries ( EFN ) are common in tropical and subtropical forests and the presence of EFN trees within a @ENVIRONMENT$ may influence @PHENOMENA$ .
influence,Here we conduct a species-level assessment of @PHENOMENA$ vulnerability for a sample of Australia s @ORGANISM$ and map the distribution of species affected by each factor driving climate change vulnerability across the continent .
influence,Four Decades of Andean Timberline Migration and Implications for Biodiversity Loss with @PHENOMENA$ Rapid 21st-century climate change may lead to large population decreases and extinction in tropical montane cloud forest @ORGANISM$ in the Andes .
influence,From 27 comparative study plots ( CSPs ) @MATTER$ were taken horizonwise from 1 @QUALITY$ per CSP Soil profiles are located directly adjacent to the CSPs .
influence,"117.8998 118.1483 29.2852 29.10178 ######## ######## @ORGANISM$ or fungal communities based on @MATTER$ indicators , the fungal to bacterial ratio , or total microbial biomass ( lipid biomass ) ."
influence,Path analyses showed that increasing @QUALITY$ led to higher abundance and diversity of @PHENOMENA$ arthropods through higher plant biomass .
influence,Mapping the Drivers of Climate Change Vulnerability for Australia s Threatened Species Effective conservation management for @PHENOMENA$ adaptation rests on understanding the factors driving @ORGANISM$ species vulnerability in a spatially explicit manner so as to direct on-ground action .
occur_in,1 21332 LÃƒÂ¼neburg Germany 49 ( 0 ) 4131-677-2960 Jan Peters ######## en_US Trees with @MATTER$ ( EFN ) are common in tropical and @ENVIRONMENT$ and the presence of EFN trees within a tree community may influence tree growth .
occur_in,"DESCRIPTION Fish abundance in the Elwha River estuary , Washington , from 2006 to 2014 SUMMARY Original Title : Fish abundance in the @ENVIRONMENT$ estuary in @LOCATION$ , from 2006 to 2014 This portion of the data release presents fish abundance data from samples collected in the Elwha River estuary , Washington , in 2006 , 2007 , 2013 , and 2014 ( no associated USGS Field Activities numbers because data were collected predominantly by biologists from the Lower Elwha Klallam Tribe ) ."
occur_in,"countries Reading the Complex Skipper Butterfly Fauna of One Tropical Place Background An intense , 30-year , ongoing biodiversity inventory of Lepidoptera , together with their food plants and parasitoids , is centered on the rearing of wild-caught caterpillars in the 120,000 terrestrial hectares of dry , @PHENOMENA$ , and cloud forest of Area de Conservacion Guanacaste ( ACG ) in @LOCATION$ ."
occur_in,"In @ENVIRONMENT$ , @ORGANISM$ serve as important ecosystem engineers making up the majority of soil faunal biomass ."
occur_in,Sand-filled splash cups were used to study the erosivity of rainfall and throughfall in the @ENVIRONMENT$ of @LOCATION$ in spring and summer 2010 .
occur_in,"solutionH20 : soil #ERROR! 2.5:1 ) dimensionless real pH value In case of @MATTER$ : samples were air-dried , sieved < 2mm , solutionH20 from @ENVIRONMENT$ #ERROR! 2.5:1 -- in case of KCL : samples were air-dried , sieved < 2mm , solutionKCL : soil #ERROR! 2.5:1 ; pH ( KCl ) is the maximum potential acidity under the present soil conditions , pH ( H2O ) is the current acidity ; pH ( KCl ) is the maximum potential acidity under the present soil conditions , pH ( H2O ) is the current acidity pH value , mean from two values determined by H2O method ."
occur_in,animals_zoo-animal-lifespans Zoo @ORGANISM$ Lifespans Life expectancy estimates for @ENVIRONMENT$ and aquarium vertebrate animals Data behind the article [ Sex-specific median life expectancies from _ex situ_ populations for 330 animal species ] ( # # Abstract We present life expectancy estimates for hundreds of vertebrate species based on carefully vetted studbook data from North American zoos and aquariums .
occur_in,"In improved fallows , the proportion above half-maximum was not associated with soil carbon or plant diversity , while @ENVIRONMENT$ @MATTER$ predicted mean percentage excess better than diversity ."
occur_in,"We measured above- and @MATTER$ stocks as well as the species richness of four groups of @ORGANISM$ and eight of animals on 14 representative plots in Sulawesi , Indonesia , ranging from natural rainforest to cacao agroforests that have replaced former natural forest ."
occur_in,Sand-filled splash cups were used to study the erosivity of rainfall and throughfall in the @ENVIRONMENT$ of southeast China in @PHENOMENA$ and summer 2010 .
occur_in,Our meta-analysis shows a significant decline of the diversity and density of @ENVIRONMENT$ invertebrates in response to @PHENOMENA$ with anecic and endogeic earthworms causing the strongest effects .
occur_in,"Leaf traits and chemicals from @ORGANISM$ in the Main Experimental sites , including secondary compound ( total @MATTER$ and tannin concentrations ) and information on stomata ."
occur_in,"The spatial identification of hot spots highlighted the ecological importance of most of the western Mediterranean shelves ( and in particular , the Strait of Gibraltar and the adjacent @LOCATION$ ) , western @ENVIRONMENT$ , the Adriatic , and the Aegean Sea , which show high concentrations of endangered , threatened , or vulnerable species ."
occur_in,We tested for effects of trophobioses ( @PHENOMENA$ ) on leaf chewer herbivory in a @ENVIRONMENT$ biodiversity experiment .
occur_in,Biodiversity and Ecosystem Multi-Functionality : Observed Relationships in @ORGANISM$ in @LOCATION$ Recent studies indicate that species richness can enhance the ability of plant assemblages to support multiple ecosystem functions .
occur_in,"Growing human population densities , intensified land-use , invasive species and increasing @ENVIRONMENT$ @PHENOMENA$ threaten ecosystems worldwide and protected areas are often the only refuge for endangered species ."
occur_in,"Using a combination of sugar composition analyses , metagenomics , and whole-genome sequencing , we reveal that the @ORGANISM$ of leaf-cutter @ORGANISM$ is composed of a diverse community of bacteria with high plant biomass-degrading capacity ."
occur_in,Using extirpation to evaluate ionic tolerance of @ENVIRONMENT$ @ORGANISM$ .
occur_in,"This file includes the synonyms of species found in the CSP during the field work 2008 / 2009 , including the species used for @PHENOMENA$ the Main Experiment in @LOCATION$ ."
occur_in,"Density dependent patterns that are prevalent in the main experiment , while not being prevalent in the common garden experiment can be considered TRUE J-C effects ( see `` Common Garden Experiment : Seedling addition experiment - growth and biomass data data for further details ) janzen connell Main Experiment seedling addition seedling performance Find the list of keywords here : Samplenr Seedlingnr Plot Subplot Splitplot Indnr_Splitplot Record Site PTAG Date Planted_Species Density Distance Home_Species Dead Height_P Height_G Leaves_Liv Leaves_Dam Leaves_Dead Damage_pro Biomass_Above Biomass_Below LAI Slope Northness Comments List of headers of the data columns in this dataset Plots of the main experiment on Site A and B 117.8998 118.1483 29.2852 29.10178 ######## ######## markus_ger erfmeier Main Experiment : Seedling addition experiment - @PHENOMENA$ and biomass data While coexistence in @ENVIRONMENT$ is frequently explained by effects of resource niche partitioning , the Janzen-Connell ( J-C ) hypothesis is an alternative approach that has been assumed as a major ecological mechanism explaining high species richness levels , in particular , in tropical forest ecosystems ."
